	E1 RIPL		E1 RIPL		E1 TLO		E1 RIPL
	M1 Grosse	M1 Ripl		M1 Grosse	M1 Ripl
0	0	0	0	0
100	0.999999998	0.999999998	0.999999998	0.999999998
200	0.929460169	0.929012437	0.929407886	0.928997227
300	0.84454321	0.842395867	0.844369688	0.842369657
400	0.761604228	0.757235422	0.761311141	0.757224248
500	0.684072434	0.677451621	0.683668446	0.67747043
600	0.612800324	0.604162787	0.612287974	0.604221185
700	0.54786432	0.537615564	0.547249142	0.53771797
800	0.489061495	0.477697819	0.488349185	0.477843679
900	0.436072679	0.424110791	0.43526886	0.424296861
1000	0.38852304	0.376446671	0.387638234	0.376666901
1100	0.346315618	0.335911199	0.345425125	0.336083332
1200	0.342760359	0.331892957	0.341728784	0.332117681
1300	0.324480609	0.314074525	0.323362233	0.314318954
1400	0.306697736	0.296905035	0.305499449	0.297164441
1500	0.289862701	0.280775539	0.288590542	0.281046983
1600	0.27418678	0.26585209	0.272844861	0.266132625
1700	0.259739359	0.252167896	0.258331545	0.252454529
1800	0.246500072	0.239674014	0.245029491	0.239964669
1900	0.234389514	0.228268713	0.232856672	0.22856109
2000	0.223286531	0.21781403	0.221692031	0.218106031
2100	0.213044782	0.208150811	0.211387992	0.208439925
2200	0.203504941	0.19910863	0.201785714	0.199392829
2300	0.1945095	0.190520568	0.192727427	0.190797184
2400	0.185917649	0.18223936	0.184074403	0.182505465
2500	0.177620686	0.174151447	0.175720492	0.174404771
2600	0.169555912	0.166189775	0.167604002	0.166427083
2700	0.161707729	0.158338933	0.159711934	0.158558064
2800	0.154100896	0.150630017	0.152073432	0.150827722
2900	0.146784989	0.143118589	0.144736895	0.143293319
3000	0.139806207	0.13586448	0.13775103	0.136014235
3100	0.13319023	0.128909287	0.131140067	0.129032234
3200	0.126931802	0.122268367	0.124900311	0.122364254
3300	0.121002243	0.115934929	0.118999931	0.116002687
3400	0.115358174	0.109892063	0.113393734	0.109931164
3500	0.109953618	0.104118189	0.108034799	0.104128819
3600	0.104744382	0.09859528	0.102875896	0.098576946
3700	0.099696166	0.093309327	0.097878773	0.093262427
3800	0.094780063	0.08824715	0.093013007	0.088173193
3900	0.089976085	0.083402306	0.088255207	0.083300822
4000	0.085272596	0.078766842	0.083592903	0.078639245
4100	0.080666111	0.074335616	0.079021444	0.074183148
4200	0.07616		0.070104218	0.074544413	0.069927882
4300	0.071763587	0.066068212	0.070172224	0.06586949
4400	0.067490675	0.062223736	0.065920057	0.062003823
4500	0.063357822	0.058566618	0.061806315	0.058326826
4600	0.059382152	0.055092497	0.057850518	0.054834373
4700	0.055580135	0.051796886	0.054070651	0.051521668
4800	0.051965852	0.048674922	0.050482598	0.048384017
4900	0.048549808	0.045721379	0.047097466	0.045416208
5000	0.045338527	0.04293099	0.043921962	0.042612793
5100	0.042333851	0.040298127	0.040957752	0.039968064
5200	0.039534085	0.037816803	0.038201826	0.037476253
5300	0.036932995	0.035481254	0.035646895	0.035131283
5400	0.034522143	0.033285369	0.033283262	0.032926832
5500	0.032290652	0.031222942	0.031098566	0.030857025
5600	0.030227052	0.02928798	0.029080042	0.028915615
5700	0.028318815	0.027474412	0.027214563	0.027096211
5800	0.026554016	0.025775903	0.025489349	0.025392996
5900	0.024921243	0.024187001	0.023892782	0.023799933
6000	0.023409178	0.022701683	0.022413955	0.022311011
6100	0.022008165	0.021314256	0.021043086	0.020920522
6200	0.020708808	0.020019263	0.019771295	0.019622932
6300	0.019502552	0.018811361	0.018590451	0.018412803
6400	0.018381339	0.017685418	0.017493077	0.017284889
6500	0.017337817	0.016636434	0.016472094	0.016234207
6600	0.016365077	0.015659659	0.015520981	0.015255871
6700	0.015456773	0.014750471	0.014633586	0.014345198
6800	0.014607203	0.013904424	0.013804324	0.013497707
6900	0.0138112	0.013117307	0.013028054	0.012709117
7000	0.013064328	0.012384943	0.012300317	0.011975276
7100	0.012362661	0.011703383	0.011617148	0.011292161
7200	0.011702935	0.011068908	0.010975223	0.010656005
7300	0.011082305	0.010477786	0.010371567	0.010063149
7400	0.010498388	0.009926673	0.009803837	0.009510207
7500	0.009949119	0.00941226	0.00926982	0.008993914
7600	0.009432641	0.008931576	0.008767731	0.008511264
7700	0.008947205	0.008481841	0.008295741	0.008059482
7800	0.008491272	0.008060498	0.007852375	0.007636071
7900	0.008063278	0.007665294	0.007436017	0.007238746
8000	0.0076617	0.0072942	0.0070452	0.00686545
